Image number,Square,Radius,Circumference,Alcohol concentration
1000,2100278.52,817.64,5648.95,0.0
1001,2100244.83,817.64,5646.17,0.0
1002,2100626.67,817.71,5646.17,0.0
1003,2152624.6,827.77,5563.44,0.0
1014,2068900.07,811.51,5602.51,0.0
1015,2070157.9,811.76,5578.67,0.0
1016,2070011.9,811.73,5575.89,0.0
1017,2070876.66,811.9,5578.67,0.0
1028,2098189.62,817.24,5536.83,0.0
1029,2098111.0,817.22,5539.61,0.0
1148,2125626.11,822.56,5704.39,0.0
1160,2279137.93,851.75,6097.02,0.0
1162,2279317.63,851.78,6097.02,0.0
1163,2104579.86,818.48,5689.24,0.0
1174,2261842.73,848.51,6330.46,0.0
1176,1966420.34,791.16,5343.13,0.0
1177,1966420.34,791.16,5343.13,0.0
1188,2054109.3,808.61,5413.13,0.0
1189,2053862.22,808.56,5413.13,0.0
1200,2039206.22,805.67,5511.65,0.0
1201,2039206.22,805.67,5511.65,0.0
1202,2039206.22,805.67,5511.65,0.0
1203,1959940.25,789.85,5479.28,0.0
1214,2051919.32,808.17,5704.47,0.0
1215,2002549.36,798.39,5573.4,0.0
1216,2002380.9,798.36,5576.17,0.0
1217,2002055.21,798.29,5569.47,0.0
1228,2191190.67,835.15,5986.06,0.0
1229,2191550.06,835.22,5982.13,0.0
1348,2136284.0,824.62,5528.3,0.0
1349,2136328.92,824.63,5528.3,0.0
1360,2041699.42,806.16,5409.68,0.0
1361,2041879.11,806.19,5409.68,0.0
1362,2041609.58,806.14,5409.68,0.0
1375,1965813.89,791.04,5379.82,0.0
1376,1966667.42,791.21,5383.74,0.0
1389,2020832.87,802.03,5556.74,0.0
1404,2280496.84,852.0,5894.64,0.0
1406,2300599.72,855.75,5981.97,0.0
1407,2300712.02,855.77,5981.97,0.0
1410,2337627.19,862.61,6304.16,0.0
1412,2337290.27,862.54,6304.16,0.0
1413,2139439.81,825.23,5695.87,0.0
1438,2380337.37,870.45,6065.25,0.0
144,602547.11,437.95,5493.61,0.0
145,729779.21,481.97,5988.04,0.0
146,729475.98,481.87,5990.82,0.0
147,729520.9,481.89,5990.82,0.0
150,640124.88,451.4,5196.8,0.0
151,640169.81,451.41,5196.8,0.0
152,640169.81,451.41,5196.8,0.0
153,664147.26,459.79,5223.13,0.0
1558,2213876.6,839.46,5710.9,0.0
1559,2214067.52,839.5,5708.12,0.0
1564,2057366.19,809.25,5504.67,0.0
1566,2036207.63,805.07,5483.69,0.0
1567,2036207.63,805.07,5483.69,0.0
1570,2111666.4,819.86,5665.61,0.0
1571,2111329.48,819.79,5665.61,0.0
1572,2111374.41,819.8,5665.61,0.0
1573,2243300.91,845.02,6031.27,0.0
1598,2181015.7,833.21,5828.29,0.0
1599,2180768.63,833.16,5828.29,0.0
1604,1978650.52,793.61,5336.43,0.0
1605,2034444.42,804.73,5386.8,0.0
1606,2034523.03,804.74,5389.57,0.0
1610,2149423.87,827.15,5763.37,0.0
1611,2149266.64,827.12,5759.44,0.0
1612,2149356.48,827.14,5763.37,0.0
1638,2135104.78,824.39,5544.49,0.0
1639,2134700.48,824.32,5544.49,0.0
1758,2102805.42,818.13,5792.0,0.0
1759,2102592.04,818.09,5789.22,0.0
1764,2109656.12,819.47,5984.15,0.0
1765,2148918.49,827.06,5878.65,0.0
1766,2148581.57,826.99,5874.73,0.0
1767,2148199.73,826.92,5882.58,0.0
1770,2231890.57,842.87,5730.53,0.0
1771,2231935.49,842.88,5730.53,0.0
1772,2231800.72,842.85,5726.6,0.0
1773,1993722.06,796.63,5430.94,0.0
178,587913.57,432.6,4335.67,0.0
179,587980.95,432.62,4335.67,0.0
1798,1909256.31,779.57,5403.65,0.0
1799,1909267.54,779.58,5406.43,0.0
1809,2120942.93,821.66,5684.56,0.0
1821,2142752.86,825.87,5913.4,0.0
1822,2143190.85,825.95,5908.32,0.0
1823,2115911.59,820.68,5844.47,0.0
1835,2095078.73,816.63,5699.12,0.0
1836,2094988.88,816.61,5699.12,0.0
1837,2094797.96,816.58,5701.89,0.0
184,619662.63,444.12,5329.5,0.0
186,560364.77,422.34,4810.19,0.0
187,560387.23,422.35,4810.19,0.0
190,546113.07,416.93,4099.26,0.0
192,546573.53,417.11,4092.55,0.0
193,576323.53,428.31,4060.39,0.0
1940,2277004.11,851.35,6310.27,0.0
1941,2276375.19,851.23,6304.72,0.0
1942,2277318.57,851.41,6304.72,0.0
1943,2112430.09,820.0,5646.65,0.0
1954,2244087.06,845.17,6291.12,0.0
1955,2094943.96,816.6,5634.11,0.0
1956,2094809.19,816.58,5634.11,0.0
1957,2094831.65,816.58,5634.11,0.0
1968,2206183.6,838.0,6083.06,0.0
1969,2206273.44,838.02,6083.06,0.0
1980,2034466.88,804.73,5562.69,0.0
1981,2034365.8,804.71,5569.39,0.0
1982,2034309.65,804.7,5572.17,0.0
1983,2472103.05,887.07,6437.14,0.0
1994,2035578.72,804.95,5459.18,0.0
1995,2017564.74,801.38,5656.05,0.0
1996,2018036.43,801.47,5652.12,0.0
1997,2017991.51,801.47,5652.12,0.0
2044,2143606.39,826.03,5633.92,0.0
2045,2080759.64,813.83,5556.46,0.0
2046,2081074.1,813.9,5560.39,0.0
2047,2080389.03,813.76,5559.24,0.0
2050,2052121.47,808.21,5671.83,0.0
2051,2051908.09,808.17,5674.61,0.0
2052,2051975.47,808.19,5674.61,0.0
2053,2048943.2,807.59,5776.29,0.0
2078,2165202.94,830.18,6192.12,0.0
